url,직무,회사 이름,위치/근무지,경력,주요업무,자격요건,우대사항,기술스택/툴
https://www.wanted.co.kr/wd/241167,제어팀 응용 SW 개발,이엘피,경기 화성시,경력 5-20년,"주요업무
• 응용 Software 개발 / MFC / C#
• SW APPLICATION 개발
• DATA 분석, 연구","자격요건
• 경력 5년 이상
• 초대졸(전문학사) 이상
• 해외 여행에 결격 사유가 없는자
• Visual Studio 사용 가능자","우대사항
• 동종업계 경력자 우대 (디스플레이, 반도체, 2차전지 등)",[]
https://www.wanted.co.kr/wd/253066,PC 제어 개발 (5년이상),이엘피,경기 화성시,경력 5-10년,"주요업무
• 비전 검사 장비 S/W 개발
• 영상처리 알고리즘 개발","자격요건
• Visual C++ C# 경력자
• 영상처리 프로그램 개발 경력자","우대사항
• Camera Library 및 Viewer 개발 경력자
• Vision (OpenCV) 영상 처리 경력자
• Image Processing 알고리즘 개발 경력자
• GIT 사용 경력자",[]
https://www.wanted.co.kr/wd/255370,AI 엔지니어 (5년 이상),버티컬바,서울 강남구,경력 5-10년,"주요업무
• 초기 개발 팀원으로서 MVP개발에 적극적으로 참여하실수 있습니다.
• 미국의 잠재고객들의 필요를 파악하고 문제를 해결하는데 중요한 역할을 할 수 있습니다.
• LLM을 포함한 최신 AI 리써치를 이용하여 조직 운영의 비효율적인 부분들을 찾아내고 해결할수 있는 새로운 방법들을 제시하는 중요한 부분에 기여하실수 있습니다.","자격요건
• 글로벌한 문제를 찾고 해결책을 찾아가는데 열정이 있으신 분
• Transformer Architecture에 대한 이해와 개발 경험
• AI와 Business Process의 결합에 깊은 관심이 있으신 분
• Python 경력 5년 이상과 PyTorch과 Tensorflow 개발 경험
• 퍼블릭 또는 프라이빗 클라우드 컴퓨팅 솔루션 경험과 이해 (예: AWS, GCP 등)
• 시스템 개발, 배포 및 유지보수 경력 5년 이상
• 자신의 생각을 논리적으로 제시하고 설득할 수 있는 능력
• 문제점에 대한 근본원인을 찾는 추론 능력
• 오버/언더 엔지니어링을 이해하고 주어진 문제에 최선의 해결책을 찾는 능력
• 스스로 문제를 도출하고 해결책도 제시할 수 있는 능력
• 해외 출장 및 근무에 결격 사유 없으신 분
• 오버/언더 엔지니어링을 이해하고 주어진 문제에 최선의 해결책을 찾는 능력
• 스스로 문제를 도출하고 해결책도 제시할 수 있는 능력
• 해외 출장 및 근무에 결격 사유 없으신 분","우대사항
• ML engineer 또는 AI engineer로 근무한 경험
• ACM-ICPC, Google codejam, Facebook hackercup or Topcoder 등 Problem solving 대회 경험
• LLM, deep learning, deep reinforcement learning, natural language processing중 하나이상의 토픽에 대한 이해와 경험
• Pre-training, fine-tuning, RHLF을 이용해서 Foundational LLM을 training한 경험
• RAG을 이용한 LLM 애플리케이션 구축 경험
• Real world, large scale의 상용 시스템을 개발해보신 분
• 개발조직 또는 프로젝트 리드 경험이 있는 분
• 봉사활동 경험이 있으신 분

[AI Research Project의 예시]
• Process flow to language for LLM
• Suggest alternate flow to maximize/minimize KPI(waiting time, rework, etc.)
• Natural language to process flow",[]
https://www.wanted.co.kr/wd/259261,Sr. Frontend 개발자,콘텐츠퍼스트(Tappytoon/태피툰),서울 강남구,경력 5년 이상,"주요업무
• 태피툰 서비스 웹/앱 설계 및 개발
• 태피툰 디자인 시스템 개발 및 관리
• 프론트엔드 공용 라이브러리 설계 및 개발","자격요건
웹/앱 프론트엔드 개발 경력 5년 이상이신 분
• React 기반의 SPA 프레임워크 사용에 능숙하신 분
• 어플리케이션 상태 관리 처리에 대한 이해가 깊으신 분(Redux, Recoil, Zustand 등)
• 제품 개발의 A-Z를 경험해보고, 전반적인 제품 설계에 어려움이 없으신 분
• 제품에 적절한 기술 스택을 선택하고 개발환경 구축이 능숙하신 분
• 프론트엔드 공용 라이브러리 구성 및 개발 경험이 있으신 분","우대사항
• 문제 해결에 진취적이고, 새로운 기술 습득에 거부감이 없으신 분
• React-Native 앱 개발 경험이 있으신 분
• 안드로이드 또는 iOS 네이티브 앱 개발 경험이 있으신 분
• 디자인 시스템에 대한 이해 혹은 구성 경험이 있으신 분
• 웹 혹은 앱 성능 최적화에 대한 고민 및 관련 문제를 해결한 경험이 있으신 분
• 애자일 방법론과 코드 리뷰를 기반으로 한 프로젝트 진행이 가능하신 분",[]
https://www.wanted.co.kr/wd/259049,웹개발 (5년 이상),에스티로직(STLogic),경기 안양시,경력 5-10년,"주요업무
웹 개발 업무","자격요건
웹 개발 5년 이상 10년 이하","우대사항
웹 GIS 개발 경력 우대","['HTML', 'JavaScript', 'Spring Framework', 'JPA']"
https://www.wanted.co.kr/wd/258909,Full Stack Developer,엠알티씨엑스(MRTCX),서울 서초구,경력 3년 이상,"주요업무
• 고객 상담 과정에서 발생하는 비효율을 분석하고, 최신 기술을 활용하여 고객상담 솔루션을 자동화 및 최적화합니다.
• 고객 상담에 필요한 기능을 정의하고, 이를 지원하는 DB 설계, API 개발, 그리고 사용자 인터페이스를 구현합니다.
• 상담 데이터를 기반으로 운영 효율성을 높이는 데이터 파이프라인을 설계하고 운영합니다.
• 기획, 디자인, 운영팀과 협업하여 고객과 사용자 모두를 위한 완성도 높은 솔루션을 개발합니다.","자격요건
• 서버와 프론트엔드 개발 모두에 관심을 가지고, End-to-End 개발 경험이 있으신 분 (적어도 한 분야에 전문성을 갖추고 있으며, 다른 도메인에 대해 배우고 협력할 의지가 있으신 분)
• Frontend: React에 대한 깊은 이해와 실무 경험
• Backend: Node.js, Kotlin, 또는 Java(Spring Framework 기반)로 백엔드 개발 경험
• 사용자의 업무 프로세스를 이해하고, 이를 더 효율적으로 개선하는 시스템 설계와 구현 경험
• 문제 해결을 주도하고, 제품과 사용자 특성을 고려한 창의적인 아이디어를 제안할 수 있는 분","우대사항
• AWS, Google Cloud 등 클라우드 서비스를 활용해 애플리케이션을 배포하고 운영한 경험
• 고객 서비스, 백오피스와 관련된 개발을 진행해보신 분
• 크롬 확장 프로그램의 설계 및 개발 경험이 있으신 분
• AI와 최신 기술 트렌드를 끊임없이 공부하고 적용함에 있어서 거부감이 없으신 분",[]
https://www.wanted.co.kr/wd/245118,[ATI]AI Software Engineer,앤서스랩코리아,서울 강남구,경력 3년 이상,"주요업무
• 다양한 도메인을 아우르는 AI 애플리케이션 설계, 개발 및 배포
• AI 기능을 활용한 확장 가능하고 효율적인 소프트웨어 시스템 설계
• AI 기능을 서비스하는 API 개발 및 유지보수
• AI 모델 학습, 평가 및 배포를 위한 데이터 파이프라인과 MLOps 체계 구성
• 데이터 과학자, 제품 관리자, UX 디자이너와 협력하여 직관적인 AI 기반 기능 개발
• 테스트, 코드 리뷰 및 모범 사례 준수를 통한 코드 품질 보장","자격요건
• 컴퓨터 과학/공학, AI 또는 관련 분야의 학사 또는 석사 학위 (또는 동등한 수준의 경력)
• 뛰어난 프로그래밍 능력, 특히 Python이 주력으로 사용된 프로젝트의 상용 서비스 경험
• Transformer, Diffusion 모델과 같은 주요 생성형 AI 기반 모델에 대한 전반적인 이해
• 기계학습, 강화학습 및 미세조정에 대한 이론적 이해와 실무 지식
• 클라우드 플랫폼(AWS, Azure, GCP 등)의 PaaS 기반 혹은 serverless 애플리케이션 개발 및 배포 경험
• 데이터 구조, 알고리즘 및 소프트웨어 디자인 패턴에 대한 지식
• 버전관리, CI/CD, IaC 등 소프트웨어 개발 및 운영 모범사례에 대한 지식
• 효과적인 협업과 지식 공유를 위한 탁월한 의사소통 능력","우대사항
• AI 모델 또는 AI 서비스에 연동된 제품/서비스 개발 경험
• 엔터프라이즈 통합 패턴 및 메시징 프로토콜에 대한 기술적 이해와 서버 간 기능 통합의 능숙함
• 단일 목적을 위한 실시간 또는 배치 처리를 위해 다중 서비스를 유기적으로 통합한 경험
• 주요 클라우드 서비스(AWS, Azure, GCP 등)를 활용한 AI 애플레케이션 구축 경험
• Production workload 배포를 위한 IaC(Infrastructure as Code) 작성 경험
• ML/DL 프레임워크(TensorFlow, PyTorch 등)를 활용한 모델 개발, 학습, 평가, 조정 및 배치 경험
• Foundation 모델(LLM, Diffusion, Contrastive Learning Models 등)의 전이 학습 및 미세조정 경험
• AI 모델 서빙 frameworks (TensorFlow Serving, TorchServe, ONNX Runtime 등)을 이용한 model deploy/serving 경험
• 관계형 및 비관계형 데이터베이스 시스템에 대한 이해 및 데이터 모델링 능력
• 대규모 데이터셋 및 다양한 데이터 소스 처리 능력
• 빅데이터 처리 프레임워크 (Apache Beam, Spark 및 그 확장 등) 활용 능력
• 대화형 AI 애플리케이션 개발을 위한 프론트엔드 기술 경험
• 오픈소스 AI 프로젝트 기여 또는 주요 저널 또는 컨퍼런스에 연구 논문 발표",[]
https://www.wanted.co.kr/wd/253557,Medical Imaging AI Research Engineer,휴톰,서울 마포구,경력 3-10년,"주요업무
●CT/MRI 데이터를 활용한 해부학적 구조물의 3D 복원 기술 연구개발 (예: CT 3D segmentation)
● 해부학 및 임상 지식을 바탕으로 CT 데이터를 통해 수술 예후를 예측할 수 있는 특징 변수 설계 및 추출 연구개발
● 연구 결과가 서비스에 원활히 적용되도록 유관 부서와의 긴밀한 협력
● 의료영상 기술을 활용하여 현재와 미래의 휴톰(Hutom) 니즈에 부합하는 새로운 프로젝트를 개발하기 위해 의료진, PM, 소프트웨어 엔지니어와 협업
● 개발한 신기술을 기반으로 논문 및 특허 출판","자격요건
1. Medical AI에 대한 열정과 명확한 구두/서면 의사소통 능력, 책임감 있는 자세, 협업을 중시하는 친절한 태도
2. 문제 제기, 가설 설정, 방법론 개발 및 검증, 결과 분석 등 연구개발 전 과정 수행 능력
3. 딥러닝(예: segmentation, detection, classification, representation learning, data-centric AI), image processing, 머신러닝 알고리즘 활용 능력
4. 기초 통계학 지식을 연구에 적용할 수 있는 능력
5. 딥러닝/image processing/머신러닝 이론에 대한 깊은 이해와 실무 적용 능력
6. ML 기반 소프트웨어 시스템의 요구사항 분석, 설계 및 프로덕션 환경 이해 및 적용 능력","우대사항
● 우수 학회에서 1저자 논문 발표 경험
● 중상급 영어 작문 및 의사소통 능력
● 관련 학과 석사 이상 학위 소지자 또는 3년 이상의 실무 경험, 혹은 이에 준하는 역량 보유자
● 제품 출시 경험 보유자
● 제품 유지보수/개선 경험 보유자",[]
https://www.wanted.co.kr/wd/248565,[AI반도체] NPU Platform Engineer,모빌린트,서울 강남구,경력 5년 이상,"주요업무
• NPU 솔루션 (칩, 보드, SDK 등)의 이용자 관점에서 테스트, 평가 및 피드백
• 딥러닝 모델 및 어플리케이션 개발
• Model Zoo 구축 및 운영
• 고객사 제품 개발 및 기술 지원
• 고객사 요구사항 분석 및 반영
• 성능 모니터링 및 솔루션 개선","자격요건
• 딥러닝 프레임워크(TensorFlow, PyTorch 등) 및 AI 알고리즘에 대한 이해
• GPU 혹은 NPU 활용 및 최적화 경험
• 리눅스 환경 개발에 능숙하신 분
• C/C++/Python 사용에 능숙하신 분
• 자료구조 및 알고리즘에 대한 높은 이해도
• 병렬 프로그래밍에 대한 높은 이해도
• SW 아키텍처 설계와 성능 최적화 경험
• 컴파일러, 디버깅 툴, 성능 최적화 툴 활용 경험","우대사항
• 글로벌 프로젝트 리딩 및 고객 대응 경험
• 석사 또는 박사 학위 보유자
• 영어 기술적 커뮤니케이션 능력","['Git', 'Pytorch', 'Tensorflow', 'C / C++', 'Perl', 'Python', '딥 러닝', '운영체제', '펌웨어', 'FPGA', 'SoC', '컴퓨터 비전', 'Verilog']"
https://www.wanted.co.kr/wd/255842,"B2C/B2B 업무 분석,설계,개발 - 8년이상",스카이웨어,서울 마포구,경력 8-15년,"주요업무
• B2C e-커머스 온라인몰 업무 분석/설계/개발
• 업무 분석 설계 개발 - Front Office / Back Office (Web/App)
• 기술환경 :
F/O - React , Vue2.js Vue3.js , Html5 , Jsp
B/O - JAVA , Springboot , MSA,
- Docker , jira , jenkins CI/CD, Kubernetes ... 오픈소스 개발 환경","자격요건
• 학력 : 전문대졸 이상 (2,3년) / 학점 3.5 이상
• 경력 : 프로젝트 업무분석 설계/개발 - 경력 8년 이상 (개발PL,팀원)
※ B2B/B2C SI 업무 분석/설계 및 Java,Spring 환경 온라인몰 개발 경험
※ 프로젝트 업무 분석, 설계, 개발 경력자
※ 직무 적합 역량을 보유한 분은 면접 후 처우 협의 가능
(계약연봉+성과급+기타 현금성 복지몰 제공 + 다양한 복리후생비 지원제도 등)
※ 개발팀 PL 또는 팀장급 지원자 : 개발PL, PM 경험과 조직관리 경험 (필)
※ MSA 환경 개발경험자 우대.","우대사항
ㆍ컴퓨터/시스템공학 등 관련 학과 전공자
ㆍ정보처리기사 자경증 소지자
ㆍ유관업무 경력자 우대
ㆍ끊임없는 자기개발과 열정을 갖추신 분
ㆍ적극적이고 다양한 기술에 관심이 많으신 분
ㆍ책임감을 가지고 주도적으로 업무 수행이 가능하신 분
ㆍ긍정적인 마인드를 가지고 디자이너/퍼블리셔/기획자와 원활한 커뮤니케이션 능력을 갖추신 분
ㆍ영어가능자, PPT능력 우수자","['Github', 'React', 'Java', 'HTML5', 'JSP', 'Spring Framework', 'Kubernetes', 'Vue.JS']"
