,url,Position,Company,Location,Job_Description
0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=116&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_9a358e42&cb=1585905389882&jobListingId=3540582235,Software Testing Internship,Smart Food Safe Solutions Inc, – Bengaluru,"About the company:
Smart Food Safe Solutions Inc. is a food safety compliance and resource management solution designed for global small to medium scale food processing industries by using domain-specific functional expertise in the form of latest internet-based smart technologies such as Blockchain, IoT, Cloud Computing, Machine learning, Artificial Intelligence, etc.

About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Reviewing software requirements and preparing test cases 2. Execute test cases (manual or automated) and analyze results 3. Evaluate product code according to specifications 4. Report bugs and errors to development teams 5. Work with cross-functional teams to ensure quality throughout the software development lifecycle 6. Exposure to regression, API or performance testing tools will be added advantage

Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 25th Mar'20 and 24th Apr'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply

Number of internships/jobs available: 2

Categories: Software Testing,Computer Science,Engineering"
1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=111&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&ea=1&cs=1_0d6c2ef3&cb=1585905389878&jobListingId=3520570004,Embedded Software Testing,Mobiveil, – Bengaluru,"Location : Bangalore
Experience : 4+ Years

Job Description :
Good in different type of testing and proficient in Python Based Test Script Automation
Good experienced in Embedded system testing and should own a module/component end 2 end.
Must be willing to test manually if tests can’t be automated due to complexity
How to Apply:
Email your resumes to jobs@mobiveil.com with the job title in the subject line."
2,https://www.glassdoor.co.in/partner/jobListing.htm?pos=120&ao=783550&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&ea=1&cs=1_8697a684&cb=1585905389886&jobListingId=3237193091,Senior Engineer - Software Testing (Bangalore Office),Open Systems International, – Bengaluru,"Open Systems International, Inc. (OSI) www.osii.com is a fast-paced, growing, high technology company, headquartered in Medina, Minnesota. As a world leader in the Operations Technology (OT) field, OSI develops and supplies state-of-the-art energy management, optimization and control software solutions to energy utility companies worldwide.

We currently have openings for Senior Engineer- Software Testing. Specific on-the-job training will be provided. In this position - located in our ITPB, Whitefield, Bangalore, India office - you will have the following responsibilities:
Work with software development groups that create the product as well as engineering groups that deploy the product.
Work with scrum team(s) to ensure high quality products and superior customer satisfaction.
Author, execute and maintain test charters, test cases, procedures and plans, automated test scripts and code.
Design, develop, implement and improve various test methodologies, plans and automation.
Review defect descriptions, requirements, and designs to incorporate into test plans.
Installation automation, test automation, release automation and system administration.
Build and Configure Continuous Integration setup for test environments.
Requirements

Minimum
Bachelor's degree in Computer Science, Software Engineering or equivalent.
Strong hands-on 2+ years’ experience on Test Automation.
3 to 6 years of software Quality Assurance / Testing experience.
Extensive knowledge of industry-leading QA tools and methodologies.
Strong understanding of automated testing best practices.
High level scripting skills (Python, Perl, Shell scripting).
Demonstrated ability in creating and communicating testing status dashboards.
Proficiency with Linux, Windows and UNIX environments.
Proficiency with a source control system (such as CVS, Subversion, Git, etc.).
Excellent written, verbal and interpersonal communication skills; comfortable communicating and working with geographically distributed teams.
Innate desires to automate, monitor and continually improve everything in sight.
System Administration experience.

Preferred
Master’s degree in Computer Science, Software Engineering or equivalent.
Experience with Quality Assurance within an Agile methodology.
Experience with automation frameworks (Selenium, Robot, Apache JMeter).
Experience with evaluating, recommending, and deploying new tools and technologies to continually improve the efficiency and effectiveness of the Quality Assurance process.
Experience with various database technologies (such as MySQL, Cassandra, MongoDB).
Experience in server virtualization, especially VMWare and VSphere.
General networking skills (Layer 2 & 3 switches, TCP/IP, SNMP, etc.).
Benefits

OSI offers a comprehensive benefit package to our full-time regular employees. Additional perks include flexible work hours, employee events, casual dress code and more. Check out our Life at OSI Facebook page to see more.

As an employee of OSI you will have access to cutting edge technologies in a fun, professional, positive and dynamic work environment. We have excellent opportunities for growth and development."
3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_2c06a9e0&cb=1585905389872&jobListingId=3180606929,Software Testing Engineer,Bloom Solutions, – Bengaluru,"About the Job

Software Testing Engineer


Job
Description

Require Strong Development & Test Resources for RBT Team.
Development main skill: MySQL
MySQL Programming ( Functions, Programs, Views …)
MySQL Developers
Basic Knowledge of Oracle

Experience

2 - 8 years

What You Need for this Position

You should have knowledge of:
MySQL
Functions
Programs
Oracle"
4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=118&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_93a88a52&cb=1585905389884&jobListingId=3365880913,CIEL/SEL/1888: Software testing Engineer,CIEL HR Services, – Bengaluru,"Location: Bangalore
Experience: 3 to 6Years
Skills Required
: HTML,CSS, JavaScript, HTTP protocol, cookies/sessions, browser differences, web services.
Roles
: Responsibilities
: Will work in an Agile/Scrum environment to deliver high-quality software against schedules.
Analyze the impact of new solutions/enhancements and run appropriate regression testing across multiple products.
Design and develop quality testing procedures to validate software deployments, integrations and datacenter infrastructure changes.
Define test objectives and collaborate with the QA teams, DevOps team and Cloud Operations team to achieve project goals.
Perform moderately complex functional, regression, network and performance testing.
Provide metrics and results from all testing efforts that will support business decisions.
Work with mobile app automation using Appium on both Android and iOS.
Accommodate a flexible schedule including off hours and weekend deployment testing.
Adhere to prevailing Eka’s ISMS policies and procedures while delivering the duties."
5,https://www.glassdoor.co.in/partner/jobListing.htm?pos=102&ao=915697&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_063bc00b&cb=1585905389869&jobListingId=3453487108,Senior Specialist - Software Testing,Diageo, – Bengaluru,"Job Description :
Develop and maintain automation scripts and frameworks used for Global Applications within ATS.
Contributes actively to the overall test strategy, especially Regression/performance/automation testing approach, deliverables, schedule and environments for project implementations.
Engagement across CoEs to understand Testing requirements and plan the test activities.
Work closely with Governance and Project Managers to support on going Test Projects
Identify continuous improvement initiatives and automation opportunities across the test phases for all Global Applications
Planning, script design, test script generation/maintenance, test execution, report generation, results analysis, bottleneck analysis, defect generation and following up for closure.
Drives continual improvement of the automation and testing process.
Applies testing tools and technologies to support the testing process and framework across an integrated Agile software development lifecycle.
Participates in peer reviews of Test Engineers’ test designs and is self-directed in test case design, execution, results analysis and defect reporting.
Contributes to innovation in testing methods, tools and practices through application of industry trends.
Accountable for adherence to procedures and deliverables, defect leakage targets, root cause analysis and process improvements in collaboration.
Bachelor's Degree in Computer Science Engineering or related computer field
8-12 years of experience in automation and performance testing.
Proficient in API & Web UI automation/performance testing, load testing, concurrent usage testing, stress testing
Hands-on experience with building, configuring and maintaining scalable, portable, and configurable automation and performance test frameworks
Experience in analyzing scalability, throughput and load testing metrics against test servers with varying levels of physical resources and compute nodes
Proficient in test tools like LeanFT, UFT, Selenium, Load runner
Expertise in test automation methodologies, frameworks, devops, scripting VB, Python, Shell etc
Working knowledge on Java, C++ etc
Working knowledge in configuration management and defect management tools HP ALM, JIRA, GitHub etc
Proficient in functioning in an Agile team
Exposure to Enterprise applications like SAP, Workday, Salesforce etc will be an added advantage
Worker Type :

Regular

Primary Location:

Bangalore Karle Town SEZ

Additional Locations :

Job Posting Start Date :

2019-09-22-07:00"
6,https://www.glassdoor.co.in/partner/jobListing.htm?pos=117&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_53c1ac84&cb=1585905389883&jobListingId=3511361112,Software Testing - Functional and Regression Testing,Superior Group, – Bengaluru,"Required Technical Skills/Education:
 Manual and Automation testing for Functional, Regression and Performance testing.
 Profound knowledge in Test Plan, Test Design, Test Case Development and Test Execution
 Experience in various Embedded and Software products from Electrical Distribution and Transmission domain.
 Experience in automation of test cases using C, Python scripting.
 Experience in using Oscilloscope, Multimeter, Function generator
 Knowledge in Software Test Life Cycle (STLC)
 Communication protocol tools: RS232, RS485, MdBus
 Defect Management: Bugzilla, JIRA

Job Requirements:
Software Testing- Functional and regression Testing
Electrical domain and experience in lab equipment’s like Oscilloscope, Multimeter, Function generator
Python scripting
Protocols like RS232, RS485, MdBus

Required Education: BE / B.Tech

Work Shift: N/A

Positions Requested: 1

Contact:
Ramesh HA

rameshha@acarasolutions.in"
7,https://www.glassdoor.co.in/partner/jobListing.htm?pos=107&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_efa0c195&cb=1585905389874&jobListingId=3426357617,Software Testing Engineer,Bangalore Base Company, – Bengaluru,"Have a strong understanding of quality assurance and testing processes within an Agile environment with an eye toward innovating and improving test processes

Strong experience client Server / Web app testing

Solid QA experience in Manual Testing

Experience in API / Web Services Testing

Fair knowledge of SQL

Good understanding of testing best practices and STLC. Good knowledge in industry in mobile testing methodologies.

Record all usability goals, suggestions and guidelines at suitable intervals in project lifecycle.
Design as well as prototype user interfaces (typically in HTML).

Execute remote as well as onsite usability testing at different points in design process (and post-launch).

Ensure to collaborate with creative teams as well as web developers to develop front-end interface.
Perform data analysis as well as interpretation.

Well versed in both quantitative and qualitative research method"
8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=106&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_375f7455&cb=1585905389873&jobListingId=3200115087,Software Testing Engineer,Bloom Consulting Services, – Bengaluru,"Job Description
Require Strong Development & Test Resources for RBT Team.
Development main skill: MySQL
MySQL Programming ( Functions, Programs, Views …)
MySQL Developers
Basic Knowledge of Oracle

Experience 2 - 8 years
What You Need for this Position

You should have knowledge of:
MySQL
Functions
Programs
Oracle
Aditional
No. of Positions
Education level
Career level
Experienced"
9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_73c1428c&cb=1585905389868&jobListingId=3203470010,Software Testing,Ample Technologies, – Bengaluru,"Qualification: BE/ BTech/ ME/ M.Tech/ MCA/ MSc
Experience: 1- 7 Years (Relevant Experience)
Extensive knowledge of: manual ltesting, winrunner, QTP, Load Runner, silk test
Job Location: Bangalore,/ Hyderabad."
